Date,Visitor,G,Home,G,,Att.,LOG,Notes
2023-10-10,Chicago Blackhawks,4,Pittsburgh Penguins,2,,18411,2:34,
2023-10-10,Nashville Predators,3,Tampa Bay Lightning,5,,19092,2:33,
2023-10-10,Seattle Kraken,1,Vegas Golden Knights,4,,18724,2:22,
2023-10-11,Chicago Blackhawks,1,Boston Bruins,3,,17850,2:29,
2023-10-11,Ottawa Senators,3,Carolina Hurricanes,5,,18893,2:33,
2023-10-11,Winnipeg Jets,3,Calgary Flames,5,,17414,2:32,
2023-10-11,Colorado Avalanche,5,Los Angeles Kings,2,,18145,2:37,
2023-10-11,Montreal Canadiens,5,Toronto Maple Leafs,6,SO,18948,2:46,
2023-10-11,Edmonton Oilers,1,Vancouver Canucks,8,,18706,2:33,
2023-10-12,New York Rangers,5,Buffalo Sabres,1,,19070,2:26,
2023-10-12,Philadelphia Flyers,4,Columbus Blue Jackets,2,,18614,2:26,
2023-10-12,St. Louis Blues,1,Dallas Stars,2,SO,18532,2:40,
2023-10-12,Florida Panthers,0,Minnesota Wild,2,,18976,2:37,
2023-10-12,Detroit Red Wings,3,New Jersey Devils,4,,16514,2:29,
2023-10-12,Seattle Kraken,0,Nashville Predators,3,,17629,2:21,
2023-10-12,Vegas Golden Knights,4,San Jose Sharks,1,,17435,2:28,
2023-10-13,Arizona Coyotes,4,New Jersey Devils,3,SO,16514,2:43,
2023-10-13,Pittsburgh Penguins,4,Washington Capitals,0,,18573,2:34,
2023-10-14,Nashville Predators,2,Boston Bruins,3,,17850,2:33,
2023-10-14,New York Rangers,3,Columbus Blue Jackets,5,,16520,2:34,
2023-10-14,Tampa Bay Lightning,4,Detroit Red Wings,6,,19515,2:28,
2023-10-14,Vancouver Canucks,4,Edmonton Oilers,3,,18347,2:30,
2023-10-14,Carolina Hurricanes,6,Los Angeles Kings,5,SO,17517,2:57,
2023-10-14,Chicago Blackhawks,2,Montreal Canadiens,3,,21105,2:26,
2023-10-14,Buffalo Sabres,2,New York Islanders,3,,17255,2:29,
2023-10-14,Philadelphia Flyers,2,Ottawa Senators,5,,20011,2:30,
2023-10-14,Calgary Flames,2,Pittsburgh Penguins,5,,17635,2:30,
2023-10-14,Colorado Avalanche,2,San Jose Sharks,1,SO,17435,2:46,
2023-10-14,Seattle Kraken,1,St. Louis Blues,2,SO,18096,2:33,
2023-10-14,Minnesota Wild,4,Toronto Maple Leafs,7,,18903,2:36,
2023-10-14,Anaheim Ducks,1,Vegas Golden Knights,4,,18033,2:35,
2023-10-14,Florida Panthers,4,Winnipeg Jets,6,,13410,2:32,
2023-10-15,Carolina Hurricanes,3,Anaheim Ducks,6,,17278,2:32,
2023-10-15,Tampa Bay Lightning,2,Ottawa Senators,5,,15584,2:27,
2023-10-16,Detroit Red Wings,4,Columbus Blue Jackets,0,,14959,2:25,
2023-10-16,Florida Panthers,4,New Jersey Devils,3,,15023,2:30,
2023-10-16,Arizona Coyotes,1,New York Rangers,2,,18006,2:29,
2023-10-16,Chicago Blackhawks,4,Toronto Maple Leafs,1,,19101,2:37,
2023-10-16,Calgary Flames,2,Washington Capitals,3,SO,16489,2:43,
2023-10-17,Tampa Bay Lightning,2,Buffalo Sabres,3,OT,12598,2:27,
2023-10-17,Minnesota Wild,5,Montreal Canadiens,2,,21105,2:36,
2023-10-17,Edmonton Oilers,6,Nashville Predators,1,,17216,2:27,
2023-10-17,Arizona Coyotes,0,New York Islanders,1,,14456,2:22,
2023-10-17,Vancouver Canucks,0,Philadelphia Flyers,2,,18883,2:28,
2023-10-17,Colorado Avalanche,4,Seattle Kraken,1,,17151,2:35,
2023-10-17,Carolina Hurricanes,6,San Jose Sharks,3,,10378,2:33,
2023-10-17,Dallas Stars,2,Vegas Golden Knights,3,SO,17612,2:47,
2023-10-17,Los Angeles Kings,5,Winnipeg Jets,1,,11226,2:24,
2023-10-18,Pittsburgh Penguins,3,Detroit Red Wings,6,,18895,2:31,
2023-10-18,Washington Capitals,1,Ottawa Senators,6,,15021,2:31,
2023-10-19,Dallas Stars,3,Anaheim Ducks,2,,14274,2:23,
2023-10-19,Calgary Flames,4,Buffalo Sabres,3,,13025,2:34,
2023-10-19,Chicago Blackhawks,0,Colorado Avalanche,4,,18140,2:24,
2023-10-19,Toronto Maple Leafs,1,Florida Panthers,3,,19288,2:30,
2023-10-19,Los Angeles Kings,7,Minnesota Wild,3,,18689,2:35,
2023-10-19,Nashville Predators,4,New York Rangers,1,,18006,2:24,
2023-10-19,Edmonton Oilers,1,Philadelphia Flyers,4,,17590,2:29,
2023-10-19,Carolina Hurricanes,4,Seattle Kraken,7,,17151,2:36,
2023-10-19,Boston Bruins,3,San Jose Sharks,1,,12501,2:30,
2023-10-19,Arizona Coyotes,6,St. Louis Blues,2,,18096,2:35,
2023-10-19,Vancouver Canucks,3,Tampa Bay Lightning,4,,19092,2:32,
2023-10-19,Vegas Golden Knights,5,Winnipeg Jets,3,,11521,2:18,
2023-10-20,Calgary Flames,1,Columbus Blue Jackets,3,,16276,2:25,
2023-10-20,New Jersey Devils,5,New York Islanders,4,OT,17255,2:33,
2023-10-21,Anaheim Ducks,1,Arizona Coyotes,2,,4600,2:30,
2023-10-21,New York Islanders,1,Buffalo Sabres,3,,16179,2:27,
