Franchise,Abr,Conference,Division
Anaheim Ducks,ANA,1,3
Arizona Coyotes,ARZ,1,2
Boston Bruins,BOS,0,0
Buffalo Sabres,BUF,0,0
Calgary Flames,CGY,1,3
Carolina Hurricanes,CAR,0,1
Chicago Blackhawks,CHI,1,2
Colorado Avalanche,COL,1,2
Columbus Blue Jackets,CBJ,0,1
Dallas Stars,DAL,1,2
Detroit Red Wings,DET,0,0
Edmonton Oilers,EDM,1,3
Florida Panthers,FLA,0,0
Los Angeles Kings,LAK,1,3
Minnesota Wild,MIN,1,2
Montreal Canadiens,MTL,0,0
Nashville Predators,NSH,1,2
New Jersey Devils,NJD,0,1
New York Islanders,NYI,0,1
New York Rangers,NYR,0,1
Ottawa Senators,OTT,0,0
Philadelphia Flyers,PHI,0,1
Pittsburgh Penguins,PIT,0,1
San Jose Sharks,SJS,1,3
Seattle Kraken,SEA,1,3
St. Louis Blues,STL,1,2
Tampa Bay Lightning,TBL,0,0
Toronto Maple Leafs,TOR,0,0
Vancouver Canucks,VAN,1,3
Vegas Golden Knights,VGK,1,3
Washington Capitals,WSH,0,1
Winnipeg Jets,WPG,1,2
